Title,Likes,Duration,Views,Comment Count,Positive,Neutral,Negative
AI can't cross this line and we don't know why.,31870,0:24:07,1084638,2464,623,339,280
PRO8L3M - Molly,211291,0:04:12,60577646,4017,185,1965,125
PRO8L3M - Flary,192324,0:03:41,32098797,2979,139,1958,118
OIO - MVP,147654,0:02:28,12984794,2467,105,1504,31
PRO8L3M - Crash test,150191,0:03:10,28039839,2371,84,1369,131
PRO8L3M - Tori Black (Official Video),79647,0:04:05,15100478,1453,81,772,63
PRO8L3M - Backstage / gościnnie: Andrzej Zaucha,67052,0:02:34,7304764,1695,76,1068,85
PRO8L3M - Zombie feat. Sokół & Duit,34940,0:03:32,3721344,618,20,377,33
GUZIOR ft. Oskar83 - F A L A,580716,0:04:16,105631434,14691,576,8487,341
Mata - Patointeligencja,835365,0:04:21,70325635,38569,2049,16315,1402
Макс Корж - Малиновый закат (official video),747119,0:05:51,104411742,16706,299,11068,63
Макс Корж - Малый повзрослел (official video),1456795,0:03:50,190756838,52099,1355,30526,330
A$AP Rocky - Sundress (Official Video),626966,0:02:58,46594462,14178,3786,4424,1472
OKI - Ktoś Czeka (prod. Magiera),19078,0:03:10,743456,486,21,273,17
